"microarray"	"rnaseq"	"flag"
"Os01g0158400"	"Os01g0158400"	1
"Os01g0158500"	"Os01g0158500"	1
"Os01g0158600"	"Os01g0158600"	1
"Os01g0158700"	"Os02g0616600"	2
"Os01g0158900"	"Os01g0158900"	1
"Os01g0159000"	"Os01g0159000"	1
"Os01g0159200"	"Os01g0159200"	1
"Os01g0159300"	"Os01g0159300"	1
"Os01g0159400"	"Os01g0159400"	1
"Os01g0159500"	"Os01g0159500"	1
"Os01g0159600"	"Os01g0159600"	1
"Os01g0159800"	"Os01g0159800"	1
"Os01g0160100"	"Os01g0160100"	1
"Os01g0160200"	"Os01g0160200"	1
"Os01g0160300"	NA	3
"Os01g0160800"	"Os01g0160800"	1
"Os01g0160900"	"Os01g0160900"	1
"Os01g0161000"	"Os01g0161000"	1
"Os01g0161200"	"Os01g0161200"	1
"Os01g0161300"	"Os01g0161300"	1
"Os01g0161600"	NA	3
"Os01g0161900"	"Os01g0162001"	2
"Os01g0162300"	"Os01g0162300"	1
"Os01g0162400"	"Os01g0162400"	1
"Os01g0162500"	"Os01g0162500"	1
"Os01g0162800"	NA	3
"Os01g0162900"	"Os01g0162900"	1
"Os01g0163000"	"Os01g0163000"	1
"Os01g0164400"	"Os01g0164400"	1
"Os01g0164500"	"Os01g0164500"	1
"Os01g0164600"	"Os01g0164600"	1
"Os01g0164700"	"Os01g0164700"	1
"Os01g0164800"	"Os01g0164800"	1
"Os01g0164900"	"Os01g0164900"	1
"Os01g0165000"	"Os01g0165000"	1
"Os01g0165100"	"Os01g0165100"	1
"Os01g0165200"	"Os01g0165200"	1
"Os01g0165300"	NA	3
"Os01g0165800"	"Os01g0165800"	1
"Os01g0166100"	"Os01g0166100"	1
"Os01g0166200"	"Os01g0166200"	1
"Os01g0166300"	NA	3
"Os01g0166400"	"Os01g0166400"	1
"Os01g0166500"	"Os01g0166500"	1
"Os01g0166700"	"Os01g0166700"	1
"Os01g0166800"	"Os01g0166800"	1
"Os01g0167100"	"Os01g0167100"	1
"Os01g0167400"	"Os01g0167400"	1
"Os01g0167500"	"Os01g0167500"	1
"Os01g0167700"	"Os01g0167700"	1
"Os01g0167800"	"Os01g0167800"	1
"Os01g0167900"	"Os01g0167900"	1
"Os01g0168000"	"Os01g0168000"	1
"Os01g0168100"	"Os01g0168100"	1
"Os01g0168200"	"Os01g0168200"	1
"Os01g0168300"	"Os01g0168300"	1
"Os01g0168400"	"Os01g0168400"	1
"Os01g0168500"	"Os01g0168500"	1
"Os01g0168600"	"Os01g0168600"	1
"Os01g0168800"	"Os01g0168800"	1
"Os01g0169400"	"Os01g0169400"	1
"Os01g0169500"	"Os01g0169500"	1
"Os01g0169800"	"Os01g0169800"	1
"Os01g0169900"	"Os01g0169900"	1
"Os01g0170000"	"Os01g0170000"	1
"Os01g0170100"	"Os01g0170100"	1
"Os01g0170300"	"Os01g0170300"	1
"Os01g0170400"	NA	3
"Os01g0170500"	"Os01g0170500"	1
"Os01g0170600"	"Os01g0170600"	1
"Os01g0170700"	"Os01g0170700"	1
"Os01g0170800"	"Os01g0170800"	1
"Os01g0170900"	"Os01g0170900"	1
"Os01g0171000"	"Os01g0171000"	1
"Os01g0171200"	"Os01g0171200"	1
"Os01g0171800"	"Os01g0171800"	1
"Os01g0172000"	"Os01g0172000"	1
"Os01g0172100"	"Os01g0172100"	1
"Os01g0172200"	"Os01g0172200"	1
"Os01g0172300"	"Os01g0172300"	1
"Os01g0172400"	"Os01g0172400"	1
"Os01g0172500"	"Os01g0112600"	2
"Os01g0172600"	"Os01g0172600"	1
"Os01g0172800"	"Os01g0172800"	1
"Os01g0173000"	"Os01g0173000"	1
"Os01g0173100"	"Os01g0173100"	1
"Os01g0173400"	"Os12g0107033"	2
"Os01g0173600"	"Os01g0173600"	1
"Os01g0173900"	"Os01g0173900"	1
"Os01g0174000"	"Os01g0174000"	1
"Os01g0174100"	"Os01g0174100"	1
"Os01g0174200"	"Os01g0174200"	1
"Os01g0174300"	"Os01g0174300"	1
"Os01g0174400"	"Os01g0174400"	1
"Os01g0174500"	"Os01g0174400"	2
"Os01g0174600"	"Os01g0174600"	1
"Os01g0174700"	"Os01g0174700"	1
"Os01g0174900"	"Os01g0174900"	1
"Os01g0175000"	"Os01g0175000"	1
"Os01g0175100"	"Os01g0175100"	1
"Os01g0175200"	NA	3
"Os01g0175300"	"Os01g0175400"	2
"Os01g0175400"	"Os01g0175400"	1
"Os01g0175500"	"Os01g0175500"	1
"Os01g0175600"	"Os01g0175600"	1
"Os01g0175700"	NA	3
"Os01g0175900"	NA	3
"Os01g0176000"	"Os01g0176000"	1
"Os01g0176100"	"Os01g0176100"	1
"Os01g0176200"	"Os01g0176200"	1
"Os01g0176300"	"Os01g0176300"	1
"Os01g0176400"	"Os01g0176400"	1
"Os01g0176500"	"Os01g0176500"	1
"Os01g0176700"	"Os01g0176700"	1
"Os01g0176800"	"Os01g0176800"	1
"Os01g0177100"	"Os01g0177100"	1
"Os01g0177200"	"Os01g0177200"	1
"Os01g0177400"	"Os01g0177400"	1
"Os01g0177900"	"Os01g0177900"	1
"Os01g0178000"	"Os01g0178000"	1
"Os01g0178100"	"Os01g0178100"	1
"Os01g0178200"	NA	3
"Os01g0178300"	"Os01g0178300"	1
"Os01g0178400"	NA	3
"Os01g0178500"	"Os01g0178500"	1
"Os01g0178600"	NA	3
"Os01g0178700"	"Os01g0178700"	1
"Os01g0178900"	"Os01g0178900"	1
"Os01g0179000"	"Os01g0179000"	1
"Os01g0179200"	"Os01g0179200"	1
"Os01g0179300"	"Os01g0179300"	1
"Os01g0179400"	"Os01g0179400"	1
"Os01g0179500"	"Os01g0179500"	1
"Os01g0179600"	"Os01g0179600"	1
"Os01g0179700"	"Os01g0179700"	1
"Os01g0179800"	"Os01g0179800"	1
"Os01g0180000"	"Os01g0180000"	1
"Os01g0180200"	NA	3
"Os01g0180300"	"Os01g0180300"	1
"Os01g0180400"	"Os01g0180400"	1
"Os01g0180600"	"Os01g0180600"	1
"Os01g0180700"	"Os01g0180700"	1
"Os01g0180800"	"Os01g0180800"	1
"Os01g0180900"	"Os01g0180900"	1
"Os01g0181000"	NA	3
"Os01g0181100"	NA	3
"Os01g0181200"	NA	3
"Os01g0181300"	NA	3
"Os01g0182100"	"Os01g0182100"	1
"Os01g0182200"	"Os01g0182200"	1
"Os01g0182300"	"Os01g0182300"	1
